,sentence_1,sentence_2
0,a crime,are executed for the crime they did not commit
1,Criminals should be punished for their misdeeds If they kill someone and end their life by dead without paying,Prisons and even prisons are not a good chance for people to escape bad conditions
2,"only a few of them have an opportunity to be successful, but also they are able to utilize them as",death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
3,abortions and other means will prevent happening worst,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
4,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
5,are put into artificial environments and it would kill them,fewer people are executed for the crime they commit
6,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,"Capital punishment is given only in the ""rarest of the rare"" cases"
7,deaths and even death toll of the victim's kin is the most significant thing about life,death toll of the victim's kin is the death of every individual
8,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
9,Prisons should be punished for their misdeeds If they kill someone and end their life by dead without paying,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
10,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
11,a punishment can be given in accordance to the condition,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
12,death toll of the victim's kin is the basis of a healthy society,leben in the city
13,are some of the important factors for a successful presentation of beaten up by losing their job,death toll of the victim's kin is the death of them
14,Criminals should be punished for their misdeeds If they kill someone and end their life by dead without paying,"further drive up the already-high crime rate and thereby, reduce the amount of crimes in the society"
15,", to some degree, an internet cartoon comedy called happy tree is extremely brutal, where the characters usually have their heads",deaths and even death toll of the victims of accidents
16,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
17,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
18,will be killed and they will not be able to pay for their sins,Criminals should be punished for their misdeeds If they kill someone and end their life by dead without paying
19,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
20,murder rate were drop,death toll of the victim's kin is always better than others
21,it is the most dangerous thing that children may be exposed to when they are attacked by crime,Prisons and even prisons are some form of prison for the rest of their country
22,are just tools for a long time,death toll of the victim's life
23,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
24,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
25,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
26,"will be killed and their family will become a peaceful place, where people are killed or injured",every human being to be killed
27,"it is regarded as the ""legalized revenge"" to victims' family Crimes kill someone which is illegal;",death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
28,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
29,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty which I had never considered before
30,"it is regarded as the ""legalized revenge"" to victims' family Crimes kill someone which is illegal;","death toll of the victim's kin is the best way to solve the problem, which is way more"
31,"Capital punishment is given only in the ""rarest of the rare"" cases",death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
32,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture
33,the truth in the stories,death toll of the tsunami in Japan
34,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
35,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death toll of some people is executed for the rest of their lives The third reason why the death penalty should be
36,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,first time I was shocked by the cruelty which I had never done before
37,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
38,criminals in their proper senses are given capital punishment,"a man killed more than ten people in the cinema using heinous crimes, then they are given"
39,fewer animals could be saved by having natural resources,", to dwindle the number of fatality"
40,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
41,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,"are often difficult and unpopular the cases of cancer or HIV are, therefore, very difficult for the victims of crimes"
42,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,"death toll of the victim's kin is the death penalty which controls the amount of crimes, life imprisonment"
43,"government should give priority to more pressing problems related to social members' wellbeing, such as soaring crime rate,",have to work harder to meet the deadline
44,a murder,convicted it could be a wise choice
45,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,"death toll of the victim's kin is the ultimate way to solve the problem, it is neither une"
46,are often asked to the police force or to surrender the government should give priority to more pressing problems related to social members,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
47,death toll of a child,have been executed for the third time
48,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death toll of the victim's kin is always found to be more difficult and confusing to control the amount
49,tertiary education should make the mind saturated and like a murder,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
50,are killed and eliminated in the process of extinction of some companies are the way to kill people,"government should give priority to more pressing problems related to social members' wellbeing, such as soaring crime rate,"
51,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
52,babies and even juveniles who get addicted to their favorite games and start smoking at an early age in a certain,death toll of the victim's kin is always the most important factor in choosing a job
53,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
54,babies and even juveniles who get addicted to their favorite games and start smoking at an early age in a certain,are executed for the crime they did not commit
55,death penalty neither controls the violent in society nor creates a violent culture,"death toll of the victim's kin is the ultimate way to solve the problem, it is neither une"
56,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,Criminals should be punished for their misdeeds If they kill someone and end their life by dead without paying
57,": it is regarded as the ""legalized revenge""",are executed for the crime they did not commit
58,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
59,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,Criminals should be punished for their misdeeds If they kill someone and end their life by dead without paying
60,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
61,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
62,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,a death penalty neither controls the violent in society nor creates heinous crimes
63,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,it is a good idea for children to past their first earlier life in the cities Children who live in cities have
64,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
65,a crime,Criminals should be punished for their misdeeds If they kill someone and end their life by dead without paying
66,capital punishment is a form of punishment which can prevent one from being harmed by any intruders,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
67,death penalty neither controls the violent in society nor creates a violent culture,government's role should be providing means that lead its citizens to learn how to prevent from potential illness that can cause
68,death toll of the victim's kin is always better than others,convicted it could be a wise choice
69,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
70,are killed and eliminated in the process of extinction of some companies are the way to kill people,"children saying thanks to the Internet, they can go online and have access to information from all over the world"
71,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
72,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death toll of the victim's kin is the death penalty they have committed a crime intentionally or due
73,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
74,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,are often executed for the death penalty
75,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death toll of the victim's kin is the death penalty they have come up with better solutions to
76,": it is regarded as the ""legalized revenge"" to victims' family Crimes kill someone which is illegal",are often executed for the death penalty
77,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
78,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
79,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human,death penalty neither controls the violent in society nor creates a violent culture nobody has the right to take another human
