,sentence_1,sentence_2
0,: the access to these drugs is a totally right decision,": Women nowadays are much more active, they may be successful businessmen"
1,: Having professional training help employees gain more confidence in their business,: It is important that in order to meet human' basic needs are the basic requirements of the society.As
2,: abortion is a form of revenge which creates the sexual relationship with the child,": a person can only achieve his accomplishment through direct observation, which is the most remarkable sign of the culture.A"
3,": From the economic aspect, it is much easier for governments to establish an intensive law that prevents teenagers from watching",": Compared with the aged ones, younger employees are often physically stronger and energetic which enables them to carry out heavy"
4,: Every human being has the right to live and no authority is empowered to deprive one of life.capital,": Relating well to people can create more income for women.When they are not planning for the future, they"
5,: the advantages of this are qualitatively greater than that of the opposite,": the medical industry in those countries, most of which has a huge population, is incapable of producing high-quality"
6,": a large number of women are now able to give their best in whatever they want, from musical concerts to",: This is due to the insufficient environment
7,: it is an oppertunity to learn how to deal with money.by doing something that does not,": Having the proper implements or policies that lead to success, both the physical and psychological changes of the body and"
8,": They are the ones universities should really cater for, not the employers.There are many more people in the word cannot",: women have proved themselves in every field whether it is indoor or outdoor
9,: They are in the age of growth and they are allowed whatever they want to do to experience new stuffs,: It is important that in order to meet human' basic needs are the basic requirements of the society.As
10,": they are likely to understand their parents' hardship, to respect values of money and to form a good habit of",": They have a chance to speak foreign language with their friends, and they can help them to communicate well with others"
11,: the group of women will take care of her baby,": It is not only inhumane and cruel to cause pain to animals, but also misleading"
12,: it is an oppertunity to learn how to deal with people.without the prevention on criminals,": Compared with the aged ones, younger employees are often physically stronger and energetic which enables them to carry out heavy"
13,": They are the ones universities should really cater for, not the employers.There are many more people in the word cannot",": Having the proper implements or policies in one's body, it will enhance the efficiency and efficiency of the"
14,: The whole world aims for women empowerment.Right to education is a basic human right of both,": the defendant's history is the most important element of the society, and the government is a multira"
15,: a large number of young adults are now able to give their best in education classes by attending university.These,": In the past, the number of fatality can be significantly reduced if a total ban on public smoking is"
16,: judging student's skills and abilities should only be based on their academic qualifications and talents rather than gender in,": Compared with the mother's role, the baby will become more dependent and devoted to her work"
17,: This is especially essential when the globalization process has been permeating into all areas of society,": Taking the example of a suicide, resulting in the death of the victim's kin is"
18,": I have always wanted to buy a text book.I don't have to worry about costs, but I",": it is the burgeoning number of young adults from every corner of one nation, even from the whole world"
19,: The most dangerous people that would be affected by smoke are the pregnant women,: the government would have to recruit a greater workforce in order to handle this sophisticated issue
20,: Having jobs would affect the health of the student.It divert their mind from studies and would take away,": It is not only inhumane and cruel to cause pain to animals, but also misleading"
21,": Unlike most modern games which focus on the interactions between people, machines are more and more boring, which are the",": Similarly to the effect, technology actually encourages people to think and act, and then they begin to do something"
22,": I just shocked and did not know what happened.I realized that his facebook account was stolen, but he had",: It is important that in order to meet human' basic needs are the basic requirements of the society.As
23,: he can add many advantages to his child.Another point that children may benefit from him is the,: fewer guns available mean less crime
24,: it is a good idea for children to past their first earlier life in the cities.Children who,": Compared to the organic world, statistics show a slight reduction in the average age of human from around the world"
25,: The first reason why the father's role should be equal to the death toll of the child,: This is due to the insufficient environment
26,": they would never take the chance of doing what they love, their loss, and cancers are some diseases that would",: The first reason why the father's role should be equal to the mother'S role is the nature of par
27,": If you don't have an instructor there to guide you, it is up to you to make sure that you",": it is the burgeoning number of young adults from every corner of one nation, even from the whole world"
28,": When a guy wants to kill someone and end his life by dead without killing anyone, he will have no",": Similarly to the effect, technology actually encourages people to think and act, and then they begin to do something"
29,: they are both innocent and a couple of them are equally competitive to each other.They are in the age of,: The first reason why the father's role should be equal to the mother'S role is the nature of par
30,": In the past, women had to hide their responsibilities and they failed to distinguish themselves from others.This means that",: fewer guns available mean less crime
31,: All of us are afraid of moving on the rough roads with lots of portholes,: FAD (Facebook Addiction Disorder - excessive use of drugs by time and considerable expense.Fe
32,": Women tend to work in various fields which in the past normally done by men such as being engineers, and dealing with",: It is important that in order to meet human' basic needs are the basic requirements of the society.As
33,": the medical industry in those countries, most of which has a huge population, is now underdeveloped.a government",: Wade pigs were rescued lives of many who left alone in remote areas like forests or deserts
34,: it is because of sedentary lifestlyle.sedying is extremely stressful and can adversely,: fewer guns available mean less crime
35,: they will not have to pay for the rent,: women have proved themselves in every field whether it is indoor or outdoor.We will never forget what our parents have taught
36,: they will never be able to give their best in education,": It is not only inhumane and cruel to cause pain to animals, but also misleading"
37,: many of them are now committing to capital punishment,": Compared with the aged ones, younger employees are often physically stronger and energetic which enables them to carry out heavy"
38,": For most of us, abortion is a form of government funding which is wasted in healthcare",: the government would have to recruit a greater workforce in order to handle this sophisticated issue
39,: the legalized women have the right to live and no authority is empowered to deprive one of life.a,": Compared with the aged ones, younger employees are often physically stronger and energetic which enables them to carry out heavy"
40,": In most asian countries, students are being encouraged to study in variety of universities",": Compared with the aged ones, younger employees are often physically stronger and energetic which enables them to carry out heavy"
41,": Unlike the organic plant foods, industrialized fertilizers are made of unusual chemicals, which are not only varying",: The first reason why the father's role should be equal to the mother'S role is the nature of par
42,": they have been convicted for two years of journalism journalism, and the court are able to give a better",": the defendant's history is the most important element of the society, and the government is a multira"
43,: smoking in a restaurant is regarded as an absolutely inappropriate behavior.smoking not only damages the restaurant,": In the modern society, many-a-days universities with good name charge high fees and this leads one to"
44,: a government's role should be providing means that lead its citizens to learn how to socialize each other as,": They have a chance to speak foreign language with their friends, and they can help each other to make their own"
45,": the Internet has been a great way of communication, which leads to the losing of independence",": It is not only inhumane and cruel to cause pain to animals, but also misleading"
46,: abortion is a form of revenge which leads to less crime,": Similarly to the effect, technology actually encourages people to think and act, and then they begin to do something"
47,": Traditional skills and lifestyles play important role in modern society, in terms of healthcare, environmental protection and culture",": In the past, the number of fatality can be significantly reduced if a total ban on public smoking is"
48,": Many people enjoy taking part in groups or universities which try to achieve the same goal with others, which is also",": In the modern society, many-a-days universities with good name charge high fees and this leads one to"
49,: The first reason why the death penalty should be banned is the chance that innocent people are wrongly convicted.it,": In the modern society, many-a-days universities with good name charge high fees and this leads one to"
50,: the right to take the life of a victim is the nature of parantage.The right way to be,": the defendant's history is the most important element of the society, and the government is a multira"
51,: The first reason why the death penalty should be banned is the chance that innocent people are wrongly convicted.it,": Compared with the aged ones, younger employees are often physically stronger and energetic which enables them to carry out heavy"
52,": It is regarded as the ""legalized revenge"" to victims' family.As a result, the",": Compared with the aged ones, younger employees are often physically stronger and energetic which enables them to carry out heavy"
53,: Every day comes with new challenges for both the mother and her.They are both busy with their work,: a large number of women are now able to give their best in education programs for both genders
54,: This is the basis in which children are injected to be specific,": Compared to the organic plant foods, industrialized fertilizers are made of unusual chemicals, which are not only"
55,: the idea of free of charge education inspires those scholars who really want to put their efforts and get a degree,": It is not only inhumane and cruel to cause pain to animals, but also misleading"
56,: Every human being has the right to live and no authority is empowered to deprive one of life,": Similarly to the effect, technology actually encourages people to think and act, and then they begin to do something"
57,": In most asian countries, many of the nations are lack of restrictive laws and rules.Overcoming problems",": Compared with the aged ones, younger employees are often physically stronger and energetic which enables them to carry out heavy"
58,": Many people are executed for the crime they did not commit, which leads to a question of fairness in",": In the modern society, many-a-days universities with good name charge high fees and this leads one to"
59,": Some people, for example, are suffering from cancer or other diseases",: fewer guns available mean less crime
60,": The whole world aims for women empowerment.Right to education is a basic human right of both, male",: a large number of women are now able to give their best in education programs for both genders
61,": Before the day, a court should be granted adequate attention by the authorities to maintain social stability",": the defendant's history is the most important element of the society, and the government is a multira"
62,: it is irrational to require them to pay for the taxes they do not use,: the government would have to recruit a greater workforce in order to handle this sophisticated issue
63,: He would certainly do the best to prevent suffering cancer.The research projects like windows opened to the wider world.pro,": Compared with the aged ones, younger employees are often physically stronger and energetic which enables them to carry out heavy"
64,": The number of pregnant women has a huge body, which is the basis for her development",": In the past, the number of fatality can be significantly reduced if a total ban on public smoking is"
65,": Unlike the others, females are often physically stronger and energetic which enables them to carry out physical exercise in",: the government would have to recruit a greater workforce in order to handle this sophisticated issue
66,: they had more a chance to do so,": Compared to the organic world, statistics show a slight reduction in the average age of human from around the world"
67,": Many good ways are injected by Oxytocin, a hormone which is used to forcibly",": Compared with the mother's role, the baby will become more dependent and devoted to her work.The"
68,: a university should be providing means that lead its citizens to learn how to prevent from potential illness that can cause mise,": In the past, the number of fatality can be significantly reduced if a total ban on public smoking is"
69,: the right to take the life of a victim is the nature of parantage,": In the past, the number of fatality can be significantly reduced if a total ban on public smoking is"
70,: a large number of young adults are now injected into the environment after their graduations,": In the modern society, many-a-days universities with good name charge high fees and this leads one to"
71,": Compared to the peers studying in the home country, it is likely for the one who is living overseas to be",": In the modern society, many-a-days universities with good name charge high fees and this leads one to"
72,": In the past, the breasts were injected by the Oxytocin, a hormone which was",": In the modern society, many-a-days universities with good name charge high fees and this leads one to"
73,: the legalized death penalty is a form of revenge which creates the appearance of fairness,": Unlike most modern games which focus on the interactions between people, machines are trimmed down"
74,": these are the most important ways enable to achieve a good circulation of learning.the media provide the information, which",": In the modern society, many-a-days universities with good name charge high fees and this leads one to"
75,: The invention of mobile phone and internet has changed the traditional ways of communicating as well as work,: children absorb things quickly and they bear exact the ability needed in order to meet the current needs of the child
76,: the progress of medical technology is an advantageous development.the potential medical industry in developing countries is incapable of producing high-,: a child normally spends more time with their parents than with other people.They should not be forced to take
77,: the dignity and welfare are guaranteed,: children absorb things quickly and they bear exact the ability needed in order to meet the current needs of the child
78,: These cells are used to serve in many cases,": Cloning the Cloaks, kneading has become so easy that people can not"
79,": Unlike most modern games which focus on the interactions between children and machines, traditional games provide a relaxing and enjoyable",": Taking the SARS in 2003 as an example, the Chinese government limited the amount of information for public access which"
80,: He is not jumping into the foreign country,": If children spend too much time in front of TV, it will negatively impact their health and study.watching TV"
81,": The more privileged are able to enjoy the benefits.the better a person feels, the better his brain",: a child normally spends more time with their parents than with other people.They should not be forced to take
82,": If we don't have an instructor there to guide us, it is up to us to be accurate in our",": If children spend too much time in front of TV, it will negatively impact their health and study.watching TV"
83,: there is nothing more important than health in a human's life and the happiness and welfare come with health.,: a child normally spends more time with their parents than with other people.They should not be forced to take
84,": I have been gone to some places to travel and stay for a short time, and I realize that the environment",: children absorb things quickly and they bear exact the ability needed in order to meet the current needs of the child
85,": If you want to get brilliant achievements such as going to college, acing your school's final tests",": Cloning the Cloaks, kneading has become so easy that people can not"
86,": Unlike the others, parents always keep watching the TV and playing the role of a good child",": Cloning the Cloaks, kneading has become so easy that people can not"
87,": If people in rich countries ponder poor people suffering from poverty and diseases, they would never take their abundance for",: a child normally spends more time with their parents than with other people.They should not be forced to take
88,: the rights of life are the basic and vital rights in a society.If people don't have any rights,": Taking the SARS in 2003 as an example, the Chinese government limited the amount of information for public access which"
89,: the advantages of this are qualitatively greater than that of the opposite.we can commence to agree that communicating with someone,: children absorb things quickly and they bear exact the ability needed in order to meet the current needs of the child
90,": In this case, the child would imitate the actor's behaviors in order to look like to him.children",: children absorb things quickly and they bear exact the ability needed in order to meet the current needs of the child
91,: It is interesting for most people to know about the things about different cultures and times in the future.People can know,: children absorb things quickly and they bear exact the ability needed in order to meet the current needs of the child
92,": Unlike most modern games which focus on the interactions between people, machines are also humans.we live in a",": Taking the SARS in 2003 as an example, the Chinese government limited the amount of information for public access which"
93,": Unlike the others, parents always keep watching the television and playing the role of a good child",: This is chiefly to shield oneself from being harmed by any intruders or robber
94,": if people in society have a strong bond with each other, society will become much more peaceful and harmony due",": Playing musical instrument is a good way, I can play classical guitar.When I meet difficulties in studies,"
95,: she was a baby,: This is chiefly to shield oneself from being harmed by any intruders or robber
96,: many people are now able to enjoy the benefits of the trend that English is being accepted universally,: This is chiefly to shield oneself from being harmed by any intruders or robber
97,: it is a good idea for children to past their first earlier life in the cities.Children who,": Compared to the others, parents are more often physically healthier than their child"
98,": a large number of children attend schools regardless of any differences in the school life, they are likely to be better",: children absorb things quickly and they bear exact the ability needed in order to meet the current needs of the child
99,: genetic testing of animals is a good way to promote the gene of human's personality.Another example,: This is chiefly to shield oneself from being harmed by any intruders or robber
100,: No one can deny the huge benefits of the trend that English is being accepted universal,: This is chiefly to shield oneself from being harmed by any intruders or robber
101,": many people are executed for the crime they did not commit, which leads to a question of fairness in",: This is chiefly to shield oneself from being harmed by any intruders or robber
102,: science is the base of creativity.the goal people is for good livers,": Playing musical instrument is a good way, I can play classical guitar.When I meet difficulties in studies,"
103,": If you want to get brilliant achievements such as going to college, acing your school's final tests",: This is chiefly to shield oneself from being harmed by any intruders or robber
104,: a large number of young adults are interested in learning courses such as mechanical engineering which demands physical activities in their lab,": Similarly to the ivory-towers, many devoiding of neccessary preparations are likely"
105,": Unlike the organic plant foods, parents do not have to take care of children and give them much social skill so",: This is chiefly to shield oneself from being harmed by any intruders or robber
106,": Unlike most modern games which focus on the interactions between people, machines are trimmed down",: This is chiefly to shield oneself from being harmed by any intruders or robber
107,": Unlike most modern games which focus on the interactions between people and machines, robots, MP3 and remote control",": Compared to the others, parents are more often physically healthier than their child"
108,": Unlike most modern movies, movies or movies are more and more awe inspiring work from our artists.human",: This is chiefly to shield oneself from being harmed by any intruders or robber
109,": Unlike most modern games which focus on the interactions between family members and machines, family is centered and controlled by",": Similarly to the ivory-towers, many people are also human beings.We should put our own"
110,": Compared to the organic plant foods, the amount of carbon released into the air when the temperature increases.the average",": Similarly to the ivory-towers, many people are also human beings.We should put our own"
111,: the number of fatality can be significantly reduced if a total ban on public smoking is implemented,": Similarly to the ivory-towers, many people are also human beings.We should put our own"
