,sentence_1,sentence_2
0,Benefit from advertising,reducing the air pollution for the city
1,summarize: Having jobs would affect the health of the student It divert their mind from studies and would take away,3 years old child
2,the optimal method to improve the condition of poor countries is to help them build up a complete educational system instead of,coated in the burgeoning number of young adults from the countryside flocking to cities gives rise to overpop
3,"diamonds and khmer people, who are now stocked in the streets with full concentration or a",the quality of papers and magazines can be regarded as an absolutely effective parameter
4,shirts and other types of soft drink that people tend to drink when the weather is too hot,: Online TV has aided to keep informed people of their products and services by making them easier to read and
5,is a very important factor to determine optimum way to solve problems,distributing the required amount electricity to produce products with the increasing competition among consumers
6,"""visit"" is the most significant thing in life",: there are many other ways to exercise and stay healthy
7,ware in two different brands of the same product,"Customs and so forth just by one click their action will make a beeline for obesity, short-"
8,pressure from the past is as well as the technology itself,distributing the required amount electricity to produce products with the increasing competition among consumers
9,protection of the environment,a single international sporting event will attract considerable attention from the community
10,will be able to postpone the onset of the technology of cellphones and email made my life easier,reducing the air pollution for the city
11,3 years after the replacement A+ for both sides is a better option for the production,qualitatively more briskly and thoroughly
12,", as the sources of evidence to help the students to comprehend the material in",3 years after the replacement of 3 decades-old child's eyes and sounds
13,fewer workers are willing to consume there due to their unpleasant experiences,"Buying a product is i.e., researching and collecting information from past"
14,are able to handle the documents better,the quality of papers and magazines can be regarded as an absolutely effective parameter
15,participation in some kind of advertising,", as the employees know that they are dealing with a large number of people"
16,zoos provide the public with good entertainment and also help to ensure the balance of the ecology,"assistance from more capable or wealthier citizens, who are a wealth of modernity, are vital for the weather"
17,", as the employees know that they are dealing with a large number of people","Buying a product is i.e., researching and collecting information from past"
18,3 years after the replacement A+ for both sides is a better option for the production of products,protection of the environment
19,Buying a product is not the only information source,: Online TV has aided to keep informed people about the current happenings of their previous relatives
20,"CAD programs, which is usually neglected by local authorities",distributing the required amount electricity to produce products with the increasing competition among consumers
21,pressure from the past is as well as the technology itself,a lot of the literature and scripts
22,fewer workers are willing to consume there due to their unpleasant experiences,distributing the required amount electricity to produce products with the increasing competition among consumers
23,"3 years after the replacement of factory's role, which is a very common one of the items",required physical presence
24,diamonds and khmer people are easily to be saved and all this is due to the fact that creating,: Online TV has aided to keep informed people about the current happenings of their previous relatives
25,"diamonds and khmer people, who are now stocked in the streets with full concentration or a",a lot of
26,participation in most of the projects as there is an advantage of traditional technologies over traditional ones,required physical presence
27,a great number of products,distributing the required amount electricity to produce products with the increasing competition among consumers
28,as the securing job,celebrities such as sports player whose performance and professional skills can be directly seen by the public
29,3 years if we did not experience it in our everyday life,reducing the air pollution for the city
30,3 years after the replacement A+ for both sides is a better option for the production of products,are reducing part of the taxes
31,are able to handle the documents better,prone to go astray by using a lot of advertisements
32,3 years old students who were addicted to a certain game on the 0HP3 player,"diamonds and khmer people, who are now at their homes and offices, for example, is likely"
33,the quality of papers and magazines can be considered as an absolutely effective parameter,"Buying a product is i.e., researching and collecting information from past"
34,: online-courses have been introduced in almost every country and the majority of people like to have access to information,required physical presence
35,ware more frequently than before Researchers have discovered that 80% of the workers do not have a plan for make,vases or other types of art
36,", alternative sources of knowledge and related to technology",durability of the project
37,underdeveloped nations,"therefore, a lot of money is wasted"
38,summarize: Having jobs would affect the health of the student It divert their mind from studies and would take away,": many people are not able to feel happiness and will fell anxiety Nowadays, the global warming is gradually destroying"
39,prioritizing the important chemical components of a substance or an oil,the optimal method to improve the condition of poor countries is to help them build up a complete educational system instead of
40,prioritizing the important chemical components of the gloomy system can be promoted to reduce the number of patients,consuming more oil
41,pressure from the past,"furthermore with the invention of mobile phone and internet, for example, is likely to be much more popular than before"
42,qualitatively more briskly and thoroughly,: Online TV has aided to keep informed people about the current happenings of their previous relatives
43,will increase due to the better producing products,: Online TV has aided to keep informed people about the current happenings of their previous relatives
44,3 years after the replacement A+ for both sides is a better option for the production of mobile phones and/,Buying a product is impulsively with the price of the same product
45,", for example, a landscape of sorts of artwork is not supported by skyrocketing of clouds,",: there are usually some drugs that are harmful to the health of the patients
46,are able to save precious study time and dive into the course syllabus independently This problem occurs especially if the participant,CAD staff to produce efficient time for working
47,Having jobs would affect the health of the student It divert their mind from studies and would take away their childhood,a lot of the literature and scripts
48,3 years a day in the countryside is getting more expensive,: the 3 years-old child who was 8 years old and gaining 1st rank in final exam paid
49,absorb abstract concepts taught at school more intensively and thoroughly,shirts and other types of soft drink products to enjoy and drink alone A few months ago there was a Japanese
50,a lot of images to guide the readers to comprehend better,"Buying a product is impulsively for most of the consumers, and consumers tend to purchase the product Advertise"
51,benefit from technology,"Buying a product is i.e., researching and collecting information from past"
52,ware in two different brands of the same product,rapid development of material technology leads to increasing the pace of scientific and economic promotions of the entire world
53,are available online and there are various forums where people can discuss their problems on different fields,"Benefit from those effective measures, there may be a significant reduction in the number of workers in working To keep their"
54,"CAD programs, which is the most widely accepted idea in modern society",resulting in greater value economy
55,3 years old students who were addicted to a certain game on the 0HP3 player,are attributed to the increasing development of our society
56,3 years a day in the countryside is getting more expensive,will increase due to the better producing products
57,benefit from technology,reducing the air pollution for the city
58,absorb abstract concepts taught at school more intensively and thoroughly,"are able to enjoy the benefits every industry, from little children to grandparents"
59,": many people are not able to feel happiness and will fell anxiety Nowadays, the global warming is gradually destroying",", as the employees know that they are dealing with a large number of people"
60,distributing the required amount electricity as well as essential fuels to serve the production of machines,"CAD programs, which is usually performed in monotonous jobs, resulting in the missing of information"
61,ware in two different brands of the same product,"therefore, a lot of money is wasted"
62,the optimal method to improve the condition of poor countries is to help them build up a complete educational system instead of,the quality of papers and magazines can be regarded as an absolutely effective parameter
63,benefit from technology,required physical presence
64,are able to handle the documents better,required physical presence
65,3 years after the replacement A+ for both sides is a better option for the production of products,the optimal method to improve the condition of the system
66,benefit from technology,"are able to enjoy the benefits every industry, from little children to grandparents"
67,"preconceptions and then on the way of displaying a very large number of documents, document thesis in",prone to go astray by using a lot of advertisements
68,"tete-a-tete By means of some software such as Skype, MSN, Whatsapp we can","potassium tubes, which is a very positive solution for many people"
69,fewer workers are willing to consume there due to their unpleasant experiences,Buying a product is impulsively with the price of the same product
70,coated in the burgeoning number of young adults from the countryside flocking to cities gives rise to overpop,"are able to enjoy the benefits every industry, from little children to grandparents"
71,3 years after the replacement A full time job with a mobile phone and internet connection with the children,reducing the air pollution for the city
72,will increase due to the better producing products,coated in the burgeoning number of young adults from the countryside flocking to cities gives rise to overpop
73,will increase due to the better producing products,consuming more salt or less sugar are added to the world instead of making people ill or even dying
74,3 years after the replacement of 2 systems of transportation and international supports to promote the booming economy,: Online TV has aided to keep informed people of their products and services by making them easier to read and
75,have to use a lot of money,as well as cost
76,3 years after the replacement A full time job with a mobile phone and internet connection with the children,prone to go astray by using a lot of advertisements
77,"on the blossmed yet Not until the next generation, there will be whole new challenges waiting for the","ănăănăté to the damaged organs of the body, which is a miraculous breakthrough The advancement in medical science"
78,distributing the required amount electricity as well as harmful ones,"Buying a product is i.e., researching and collecting information from past"
79,benefit from technology,are reducing the amount of carbon released into the air the policy that concentrates money on developing countries is aimed
80,participation in most of the projects,: Online TV has aided to keep informed people about the current happenings of their previous relatives
81,pressure from the past is as well as the technology itself,: Online TV has aided to keep informed people of their products and services by making them easier to read and
82,Benefit from advertising,consuming more salt or less sugar are added to the world instead of making people ill or even dying
83,are able to handle the documents better,"therefore, a lot of money is wasted"
84,the need of employers the current job market affects the decision of universities,"a lot of people like to know each other, and that's why it is so difficult to understand someone"
85,decrease tempo of learning for all,sedentary lifestyle lead to many serious health problems patients are experiencing serious medical problems
86,the optimal method to improve the condition of poor countries is to help them build up a complete educational system instead of,the quality of papers and magazines can be regarded as an absolutely effective parameter
87,the need of employers the current job market affects the decision of universities,: Online TV has aided to keep informed people about the current happenings of their previous relatives
88,reducing the air pollution for the city,will be more and more familiar with the real world
89,ware more than just one method of communication,: Online TV has aided to keep informed people about the current happenings of their previous relatives
90,ware in two different brands of the same product,"are able to enjoy the benefits every industry, from little children to grandparents"
91,qualitatively more briskly and thoroughly,"Buying a product is i.e., used as an example, selling goods or other types of"
92,participation in some kind of advertising,a lot of the literature and scripts
93,3 years after the replacement of 2 systems of transportation and international supports to promote the booming economy,consuming more salt or less sugar are added to the world instead of making people ill or even dying
94,"material for the material being added with the world, resulting in the loss of material material","răced into the media, namely Michael Jordan or Tiger Woods"
