,sentence_1,sentence_2
0,lz granderson: death penalty should only be used in extreme circumstances. he says it's not,a person who raped someone shouldn't be killed for it. mass murdering or serial killing
1,bob greene: jurors can sentence capital murderers to life without parole. he says in every,i am advocating life in prison without the option of parole.
2,bob greene: you weigh what monetary savings (if any) over the life of someone found innocent.,death penalty should save more lives than innocents executed by it.
3,john avlon: i am very conservative and opposed to abortion and the death penalty.,bob greene: i am not a big proponent of the death penalty.
4,"bob greene: it has nothing to do with the death penalty, how could it have anything to say with saved","murderer is released and murders again, but that has nothing to do with the death penalty. sentencing"
5,a third degree murder doesn't seem to have been put to death. no one has been killed for,"heinous crimes deserve death, but execution erases crime that was committed."
6,death penalty used as a scapegoat for many people who are against executions.,bob greene: capital punishment must be used in all situations. he says if the next person did
7,Firstly there has been no proof that an Innocent man has ever been placed on death row.,bob greene: we can only guess how many innocents have been put to death. he says the
8,"the death penalty gives the ability to off killers and murderers. if given life in parole, they have",bob greene: life in jail is better than death penalty...at least they would get chance to suffer longer
9,"bob greene: if a criminal wants death, i prefer to be sadistic. he",i would prefer a society where no death penalty was handed out.
10,roxanne jones: if they try to kill/escape from life w/o parole in,bob greene: life in prison shouldn't keep us from doing what's right. he says
11,bob greene: punishment isn't the most extreme form of punishment.,bob greene: i am not a big proponent of the death penalty.
12,aaron carroll: government must provide undeinable proof of their guilt. he says it',lz granderson: letting someone live who doesn't want to live is pointless. he
13,Einige need to be put to death.,bob greene: people on death row for 20 or 30 years before they are put to death. he
14,"if someone commits any crime, they are a criminal by definition. eric liu",the death of a criminal prevents him from committing any further crimes.
15,bob greene: even if the guy we're sending to the chair didn't commit a murder,twitter user who killed his twitter account should be jailed. aaron carroll: no he
16,judge may or may not feel the death penalty is warranted.,many people find some crimes heinous enough to warrent the death penalty.
17,the death penalty has a foundation in justice and it spares more innocent lives.,"the death penalty is a deterrent and saves innocent lives, says christopher nelson"
18,aaron carroll: evidence says innocent people are convicted of crimes. he says innocence is not,"many, many people have already been exonerated AFTER being convicted of a capital crime."
19,"life in prison is a less harsh punishment, says cnn's john sutter.",lz granderson: life in prison shouldn't keep us from doing what's right. he
20,killing murderers is the right thing to do.,killers let out of prison so they can kill again.
21,"lz granderson: state with death penalty, highest murder rate has no gun control. he says state",murder rates are consistently lower in states that don't have capital punishment. robert martin:
22,john avlon: kind of person we might want put to death by justice system.,Einige need to be put to death.
23,john avlon: you seem to think life in prison is worse than the death penalty.,"if life in prisonment is so much worse than the death penalty, why do you think most prisoners on death row"
24,"bob greene: if we execute death penalty, we will not be better than murderers.",sally kohn: if we impose a guarantueed death penalty on murder
25,the death penalty is the best possible deterrent for crime.,death penalty doesn't need to serve as a deterrent to crime.
26,people will tell you that the death penalty kills innocent people.,"bob greene: Hitler killed a whole race, you're saying we don't mind if we"
27,Exactly how many innocent people has the death penalty killed?,aaron carroll: people who are killed are mostly innocent people. he says those killed by the
28,"bob greene: if we execute death penalty, we will not be better than murderers.",bob greene: if the death penalty were an adequate deterrent then we would not have murder.
29,the death penalty right now is too easy even i think.,aaron carroll: death penalty has been very trying time for me. he says i have
30,i don't think the death penalty should be banned.,lz granderson: i think America should ban the death penalty. he says only God should have
31,capital punishment is killing someone as a punishment for committing.,death penalty given to those who commit a very serious crime.
32,"lz granderson: you may as well ACTUALLY believe anything, if you actually believe in the","bob greene: if you think there shouldn't be a death penalty, you're an idiot"
33,bob greene: we still kill the wrong person all the time.,we could get the person who may kill in the future.
34,deterrence is not the only reason i support the death penalty.,is it time to end the death penalty?
35,"bob greene: death penalty is not more expensive than LWOP. he says in many,",sally kohn: all of this information is the reason the death penalty is so costly.
36,"most other first-world countries don't have the death penalty, but have lower rates of crime.",the first twenty states with higher murder rates all have the death penalty.
37,a life sentence and the death penalty would have prevented further murders.,"murderer is released and murders again, but that has nothing to do with the death penalty. sentencing"
38,the few cases that convict innocent people are becoming even fewer.,"a man convicted of murder was released, and killed yet again. lz granderson: if"
39,"...and if I do someday murder someone, I should be killed.",lz granderson: killing someone for treason shouldn't be enough. he says it
40,the death penalty can be used as leverage in plea bargains.,"yes, the death penalty should be used as punishment."
41,death penalty cases go through a series of costly appeals. julian zelizer: it's,death penalty cases involve a lot of appeals and lawyers are really expensive.
42,"when someone murders another, the death penalty is considered, as it should be.","a innocent person has been put to death, but we have not seen it."
43,bob greene: a government should not be able to kill someone. he says they almost always,"if you kill someone, they won't have the chance to get rehabilitated. dr"
44,"if a person kills another person it is murder, whether it's sanctioned by the state or",if a person wasn't convicted then they surely wouldn's not be murdered.
45,the death penalty is not used for what it is supposed to be used.,"bob greene: death penalty should be used, but only in extreme cases."
46,"bob greene: murder is murder, no matter how it is done. he says it doesn't","bob greene: death penalty is not murder, but i am personally against it. he says"
47,the death penalty has already been carried out....,some of the innocent people that have been executed in the u.s. were executed by the government of pak
48,others have said that the death penalty is biblically wrong.,other countries not having it doesn't say anything about the morality of the death penalty.
49,fear in a person's mind has prevented him from commiting the crime.,bob greene: the person committing a crime is deterred because he wold bear the
50,bob greene: they should be killed the same way that the person(s) they killed were.,bob greene: a government should not be able to kill someone. he says they almost always
51,"bob greene: if we can't prevent the innocent from unjust punishment, we should not have the","bob greene: if we don't stop the death penalty now, we will put innocent people to death"
52,bob greene: rape suspects who know they'll die if caught will likely kill more,>>>If we are sure they raped & killed those innocent children then we should let them die.
53,john avlon: the death penalty should be abolished because some people are sentenced to death,aaron carroll: the death penalty has been proven to deter crime. he says people will
54,bob greene: rape suspects who know they'll die if caught will likely kill more,"raped person shouldn't be killed for it, but something like a mass murder should be dealt with"
55,aaron carroll: i'm not saying we should apply the death penalty in all instances of murder,"bob greene: death penalty should be used, but only in extreme cases."
56,i think the death penalty should be abolished because some people are sentenced to death.,people who will commit a crime with life in prison would probably still commit the crime.
57,daniel treisman: if they try to murder someone after they are in prison do they deserve,mass murdering or serial killing should be dealt with by putting someone to death. raped person shouldn
58,state without death penalty fared BETTER in reducing murder rates.,aaron carroll: states without the death penalty have much lower murder rates.
59,bob greene: if someone commits a crime worthy of the death penalty they should get life sentence,capital punishment is killing someone as a punishment for crime.
60,aaron carroll: death penalty cannot be used as an argument for it. he says unless,death penalty has never been shown to be a deterent to murder.
61,death penalty has never been shown to be a deterent to murder.,murder rates are higher in states that have the death penalty. studies show that the deterrent is not a
62,those who execute the death penalty are murderers.,death penalty is then in this case a lawful murder.
63,bob greene: there are certain crimes where the death penalty is acceptable. he says it's not,"only certain people deserve the death penalty, i think."
64,"murderer is released and murders again, but that has nothing to do with the death penalty. sentencing",a life sentence does not prevent homicide.
65,lz granderson: im glad i am not someone who has to decide murder as punishment.,capital punishment is killing someone as a punishment for committing.
66,bob greene: why do citizens who are uninvolved with a capital crime scream for,"bob greene: death penalty is not murder, but i am personally against it. he says"
67,God specifically gives the government permission to punish murderers by death.,God gave government authority to use capital punishment to restrain murder.
68,if someone is bad enough to be considered for the death penalty then they must have had sure evidence that they are guilty,if a person wasn't convicted then they surely wouldn's not be murdered.
69,julian zelizer: death penalty is often supported for emotional reasons. he says it's,is it time to end the death penalty?
70,the person(s) that they killed should be killed the same way.,"bob greene: if a child kills someone, they forfeit their life. he says they"
71,john sutter: the death penalty is the wrong way to work against criminal activity.,if murder is wrong then so is the death penalty.
72,people dying from the death penalty are guilty people who have taken the lives of others.,bob greene: innocent people have been placed and convicted to death row condemned to die. he says
73,crime rate higher after death penalty.,aaron carroll: states without the death penalty have much lower murder rates.
74,bob greene: if someone commits a crime worthy of the death penalty they should get life sentence,bob greene: some crimes and criminals deserve death.
75,life without parole lets you fix that mistake since they can be released if they are found innocent. not so with,what does their being released have to do with the death penalty?
76,aaron carroll: we are all potential victims of violent crime. he says there are violent crimes,bob greene: some crimes and criminals deserve death.
77,aaron carroll: the death penalty does not deter murder rates.,death penalty has never been shown to be a deterent to murder.
78,the death penalty is not deterrance for the person executed.,many people argue that the death penalty is not a deterrent.
79,felons are executed with the death penalty.,those who execute the death penalty are murderers.
80,"bob greene: if a child kills someone, they forfeit their life. he says they","bob greene: if the person isn't convicted, then they won's not be murdered"
81,"bob greene: if these are indeed comparable, i wouldn't argue for the death penalty.",i'm pro-death penalty because there is no atonement for murder.
82,i'm against killing people.,people who care about you will suffer more if you die than raped or tortured.
83,"executions are costing this country money, lives and dignity.",cost of execution varies depending on state in which prisoner is to be tried.
84,bob greene: life in prison is a good option if they don't want to kill an innocent,"aaron carroll: life in prison costs more, kills more innocents, has no more advantages"
85,convicted in those crimes had nothing to do with DNA but police errors upon which they were exonerated.,"many, many people have already been exonerated AFTER being convicted."
86,"killing a child is murder in America, and there are no children being killed.",Child Killing Pedophiles don't deserve the right to live.
87,bob greene: those who murder in cold blood would be more than deserving of death penalty.,aaron carroll: death penalty is an archaic and obsolete form of punishment. he says
88,have you ever thought that death penalty is also violence?,aaron carroll: you're assuming that the death penalty encourages crime. he says
89,lz granderson: Louisiana has the highest murder rate in the country. he says state with death penalty,murder rates are higher in states that have the death penalty.
90,"errol louis: if it's not, then we shouldn't be putting people on trial","we kill killers, but end up with more murders."
91,david rothkopf: there is no clear evidence indicating deterrent value to death penalty.,bob greene: there is no accurate way to measure if the death penalty is deterring crime.
92,aaron carroll: we shouldn't have the death penalty just on the off chance that we might execute,aaron carroll: people say we shouldn't execute people based on possibility they may be innocent
93,life in prison is cheaper than sentencing one to the death penalty.,"bob greene: life in prision is ""much worse"" than death penalty. he says"
94,"only.06% of people who have killed kill again when they escape, are released...",what if they don't kill anyone in their escape attempt?
95,people suffer more when they spend their whole lives in jail.,people have been set free because of changed laws. they were supposed to be in jail for life - but were
96,jurors can sentence capital murderers to life in prison without parole. julian zelizer: jur,the death penalty and a life sentence would have prevented further murders.
97,a life in jail costs less than the death penalty.,"aaron carroll: killing people is costing this country money, lives and dignity."
98,the death penalty has been proven to deter the crime rate.,ZERO evidence that the death penalty deters crime.
