,sentence_1,sentence_2
0,late term abortion bans seem more about further preventing women from accessing abortion than a good-faith attempt,many religious organizations and people of faith support women's reproductive choice.
1,a woman's abortion is not based on morality but on providing options to mitigate risks.,a baby should not come into the world unattractive.
2,"abortion would be performed if it was illegal. only difference is that it would take place under dangerous, sub",adam lanza: abortion promotes culture in which human life is disposable.
3,"if we cut the number of poor women in half, we would save more than three times as many unborn children",modern abortion procedures are safe and do not cause lasting health issues.
4,shouldn't we prevent abortions throughout that entire stage?,reproductive choice protects women from financial disadvantage.
5,"clearly, involuntary euthanasia is wrong. there is a difference between imposing",original text of the Hippocratic Oath forbids abortion.
6,countless women will die from the charge that.,abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to
7,abortion should be avoided until the day that it becomes illegal.,Reproductive choice empowers women by giving them control over their bodies.
8,the only meaningful change in someone âs life is that someone becomes a human at conception.,women should not be able to use abortion as a form of contraception.
9,"they are desperate, alone.'scared', probably ashamed, and without options.",a baby should not come into the world unattractive.
10,drop in crime attributed to a reduction in individuals said to have higher statistical probability of committing crimes. unwanted,many religious organizations and people of faith support women's reproductive choice.
11,"if a group believes that abortion is murder, then that group ought to advocate that it be treated as murder","unborn babies are human beings with a right to life, says christopher ferguson"
12,every single human being is entitled to the protection of our laws.,modern abortion procedures are safe and do not cause lasting health issues.
13,the only meaningful change in someone âs life is that someone becomes a human at conception.,reproductive choice empowers women by giving them control over their bodies.
14,choice to become a mother must in the very least be given to the woman.,"the court declares abortion a ""fundamental right"" guaranteed by the US Constitution."
15,all the risks she faces are multiplied a hundred fold. and the child must face them as well,aaron carroll: allowing abortion conflicts with unalienable right to life. he says
16,state may protect unborn life in ways it would not. but for stereotypical assumptions about women âs,Abortion may lead to future medical problems for mother.
17,"why is this particular degree of development ( i.e., higher brain function ) decisive rather than",adolescent mothers who have been aborted are more likely to die.
18,repeating these words over and over will make us all decide that an acorn is actually an oak tree.,Abortions reduce the number of adoptable babies.
19,lowering the limit to 20-22 weeks will push abortions due to abnormalities into much more difficult legal territory.,abortion reduces welfare costs to taxpayers.
20,Abortion should be limited.,"unborn babies are human beings with a right to life, says christopher ferguson"
21,"fetus is in no real sense â part'of the mother, but is","christopher ferguson: abortion is the killing of a human being, which defie"
22,"millions of us will be guided by our own moral values and life goals. until then, we will devote our lives",a baby should not come into the world unattractive.
23,3 months. by all the arguments listed above we should be able to snuff out the kid whenever,Abortion reduces crime.
24,we shouldn't penalize someone for life.,Abortions cause psychological damage.
25,if the unborn child has deformities ( according to the doctors via ultrasound ) i would still carry,abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to
26,study of men whose partners had abortions found that 51.6 % of the men reported regret.,women who receive abortions are less likely to suffer mental health problems. women denied abortion are more likely than women to
27,"in Case 3, the fetus isn't a person.",Abortions reduce the number of adoptable babies.
28,abortion is murder.,"adolf wolfe: abortion is the killing of human being, which defies"
29,abortion inflicts suffering on the unborn child.,women who receive abortions are less likely to suffer mental health problems than women denied abortion.
30,the Court ex­plains that a pregnant woman âs suffering is too intimate and personal for the,Abortion reduces crime.
31,"under a â human life amendment, we would not be returning to the same legal situation. women",fetuses are incapable of feeling pain when most abortions performed.
32,"women want to live in a society that cherishes our shared, and indeed. wondrous capacity",a baby should not come into the world unattractive.
33,hospital justified the abortion by the principle of double effect. said the placenta ( which is neither the un,the decision in Roe v. Wade was wrong and should be overturned.
34,many fetuses have severe disorders that can cause the child to live a very difficult and painful life,adolfo nasri: abortion eliminates the potential societal contributions
35,they have to deny the moral principle that leads to the pro-life conclusion.,Fetuses feel pain during the abortion procedure.
36,"reversibly comatose patients, and human infants 'would be disqualified from having","unborn babies are human beings with a right to life, says christopher ferguson"
37,restrictive laws pushed by Right to Lifers cause delay and lead to increased numbers of late abortions. restrictions,modern abortion procedures are safe and do not cause lasting health issues.
38,"""a drop in Medicaid-funded abortions by over 99 %,"" cms data show. drop",abortion reduces welfare costs to taxpayers.
39,"fewer abortions will be performed, and that is to the good of women.",modern abortion procedures are safe and do not cause lasting health issues.
40,"approximately 93 % of all induced abortions are done social or for elective, non-medical",modern abortion procedures are safe and do not cause lasting health issues.
41,the fetus is not yet a human being because it cannot survive on its own.,"personhood begins after a fetus becomes ""viable"""
42,seven members of the Supreme Court agreed.,"abortion is a ""fundamental right"" guaranteed by the US Constitution."
43,pro-choice advocates argue that it should be illegal for governments to regulate abortion any more than other medical practices.,"legal, professionally-performed abortions reduces maternal injury and death caused by unsafe, illegal abortion."
44,no one has the absolute right to engage in illegal religious activities under the guise of â freedom of,many religious organizations and people of faith support women's reproductive choice.
45,if we continue to deny the very foundation of freedom - life. for the most vulnerable human beings,"unborn babies are human beings with a right to life, says christopher ferguson"
46,God hates abortion even more than He hated fags,"abortion is the killing of a human being, which defies the word of God."
47,traditional Buddhism rejects abortion because it involves the deliberate destruction of a life.,aaron carroll: allowing abortion conflicts with unalienable right to life. he says
48,study collaboratively conducted by the World Health Organization and the Guttmacher Institute.,"legal, professionally-performed abortions reduces maternal injury and death caused by unsafe, illegal abortion."
49,half of all women having abortions every year have had at least one previous abortion. 8.5 % of abortion,"legal, professionally-performed abortions reduces maternal injury and death caused by unsafe, illegal abortion."
50,the right to abortion is based on the rights of privacy.,"abortion is a ""fundamental right"" guaranteed by the US Constitution. the court declares it to be"
51,abortion clinics in the state argue that the law has no real medical justification and unduly burdens almost,modern abortion procedures are safe and do not cause lasting health issues.
52,"a severe fetal anomaly, threat to the mother âs health and life or pregnancy from",modern abortion procedures are safe and do not cause lasting health issues.
53,it is ultimately her responsibility ( as the partner who can become pregnant ) to prevent pregnancy.,"timothy stanley: if women become pregnant, they should accept responsibility of producing child."
54,some women suffer psychological damage from having an abortion. the damage done from giving a child up for adoption is much,Abortions cause psychological damage.
55,""" reason "" number 2 agrees that life begins at conception. the argument against abortion is pro-life, not","unborn babies are human beings with a right to life, says christopher ferguson"
56,that is a direct abortion and an intrinsic evil.,"abortion is the killing of a human being, which defies the word of God."
57,"if your candidate focuses on restrictive laws, you will drive women underground. this will increase their financial hardship",modern abortion procedures are safe and do not cause lasting health issues.
58,illegal abortions are a major cause of death.,"legal, professionally-performed abortions reduces maternal injury and death caused by unsafe, illegal abortion."
59,abortion may appear as the only option for the betterment.,Abortion reduces crime.
60,the woman now pregnant isn't responsible for her rape.,"aaron carroll: if women become pregnant, they should accept responsibility of producing child. he"
