topic,regression_label_binary,regression_label,standard,structure,concept,conclusion_standard,conclusion_structure,conclusion_concept,summary_standard,summary_structure,summary_concept,sentence_1_len,sentence_2_len,combined_len,bin
DP,1,0.8571428570816325,0.353,0.251,0.753,0.061,0.169,0.061,0.291,0.218,0.509,182,190,372,300-400
DP,0,0.2857142858367347,0.264,0.189,0.491,0.14,0.159,0.14,0.136,0.136,0.318,164,60,224,200-250
DP,0,0.4285714285408163,0.224,0.159,0.433,0.255,0.246,0.327,0.269,0.186,0.596,120,113,233,200-250
DP,1,0.714285714377551,0.333,0.2,0.733,1.0,0.714,1.857,0.391,0.246,0.826,74,46,120,100-200
DP,0,0.5714285714591836,0.324,0.167,0.529,0.269,0.311,0.385,0.255,0.206,0.545,138,194,332,300-400
DP,0,0.2142857142704081,0.19,0.138,0.317,0.118,0.124,0.118,0.182,0.227,0.318,75,183,258,250-300
DP,0,0.2142857142704081,0.2,0.156,0.4,0.259,0.254,0.333,0.208,0.153,0.375,90,197,287,250-300
DP,0,0.5714285714591836,0.233,0.144,0.5,0.207,0.178,0.345,0.174,0.145,0.348,87,157,244,200-250
DP,0,0.3571428571887755,0.235,0.196,0.431,0.136,0.211,0.273,0.338,0.225,0.623,166,184,350,300-400
DP,0,0.2142857142704081,0.259,0.21,0.481,0.308,0.301,0.538,0.278,0.167,0.611,122,99,221,200-250
DP,0,0.4285714285408163,0.395,0.316,0.816,0.261,0.275,0.348,0.407,0.309,0.704,112,176,288,250-300
DP,0,0.5714285714591836,0.118,0.078,0.235,0.308,0.311,0.346,0.579,0.474,0.895,77,46,123,100-200
DP,0,0.2142857142704081,0.369,0.308,0.523,0.158,0.179,0.105,0.333,0.259,0.593,135,114,249,200-250
DP,0,0.3571428571887755,0.238,0.143,0.524,0.195,0.23,0.293,0.255,0.17,0.511,43,89,132,100-200
DP,0,0.5000000001071427,0.486,0.306,1.027,0.128,0.146,0.085,0.421,0.281,0.947,84,72,156,100-200
DP,0,0.2142857142704081,0.159,0.121,0.341,0.208,0.23,0.292,0.333,0.259,0.556,169,174,343,300-400
DP,0,0.4285714285408163,0.279,0.171,0.465,0.207,0.171,0.345,0.222,0.207,0.444,60,73,133,100-200
DP,1,0.8571428570816325,0.478,0.333,0.913,1.0,0.714,1.857,0.444,0.326,0.8,80,104,184,100-200
DP,1,0.8571428570816325,0.343,0.229,0.686,0.2,0.185,0.3,0.255,0.17,0.511,71,88,159,100-200
DP,0,0.1428571429183673,0.214,0.143,0.429,0.244,0.25,0.341,0.385,0.282,0.692,81,176,257,250-300
DP,0,0.2142857142704081,0.286,0.248,0.571,0.121,0.094,0.242,0.222,0.198,0.593,67,52,119,100-200
DP,1,0.6428571428112244,0.452,0.323,0.903,0.061,0.078,0.061,0.457,0.324,0.914,112,103,215,200-250
DP,1,0.8571428570816325,0.437,0.312,0.813,0.37,0.369,0.444,0.368,0.263,0.684,81,43,124,100-200
DP,1,0.8571428570816325,0.495,0.33,0.99,0.146,0.146,0.244,0.523,0.379,1.015,169,199,368,300-400
DP,0,0.2142857142704081,0.349,0.201,0.794,0.286,0.286,0.286,0.549,0.366,1.098,66,145,211,200-250
DP,1,0.6428571428112244,0.437,0.271,0.938,0.167,0.193,0.375,0.437,0.271,0.938,59,64,123,100-200
DP,0,0.4285714285408163,0.312,0.208,0.625,0.218,0.264,0.255,0.208,0.153,0.458,94,146,240,200-250
DP,0,0.5000000001071427,0.364,0.258,0.864,0.194,0.194,0.194,0.25,0.183,0.55,62,150,212,200-250
DP,0,0.1428571429183673,0.368,0.211,0.789,0.16,0.187,0.28,0.593,0.42,1.111,66,78,144,100-200
DP,0,0.1428571429183673,0.269,0.154,0.423,0.093,0.106,0.093,0.167,0.111,0.292,52,126,178,100-200
DP,0,0.5714285714591836,0.25,0.167,0.5,0.146,0.172,0.146,0.34,0.214,0.717,49,211,260,250-300
DP,1,0.7857142857295918,0.4,0.311,0.667,0.111,0.158,0.111,0.143,0.143,0.286,81,72,153,100-200
DP,0,0.3571428571887755,0.233,0.171,0.372,1.0,0.714,1.857,0.417,0.333,0.667,118,65,183,100-200
DP,0,0.2857142858367347,0.4,0.289,0.8,0.187,0.201,0.187,0.27,0.198,0.595,53,51,104,100-200
DP,0,0.2142857142704081,0.444,0.296,0.889,1.0,0.714,1.857,0.296,0.198,0.593,62,47,109,100-200
DP,0,0.5000000001071427,0.203,0.136,0.407,0.163,0.226,0.163,0.302,0.201,0.604,166,69,235,200-250
DP,1,0.6428571428112244,0.507,0.368,0.925,0.296,0.295,0.37,0.632,0.468,1.123,117,76,193,100-200
DP,0,0.2142857142704081,0.246,0.175,0.702,0.133,0.17,0.133,0.308,0.239,0.615,78,194,272,250-300
DP,0,0.4285714285408163,0.269,0.159,0.567,0.778,0.566,1.444,0.227,0.152,0.409,67,203,270,250-300
DP,0,0.1428571429183673,0.364,0.303,0.818,0.091,0.129,0.045,0.182,0.152,0.455,58,162,220,200-250
DP,0,0.2142857142704081,0.375,0.25,0.75,0.167,0.227,0.208,0.417,0.306,0.75,93,53,146,100-200
DP,1,1.0,0.267,0.178,0.622,0.178,0.215,0.311,0.348,0.232,0.696,91,83,174,100-200
DP,0,0.1428571429183673,0.211,0.211,0.316,0.091,0.166,0.091,0.258,0.215,0.387,97,89,186,100-200
DP,0,0.2142857142704081,0.324,0.261,0.595,0.23,0.206,0.361,0.471,0.366,0.863,109,186,295,250-300
DP,0,0.2857142858367347,0.378,0.27,0.703,0.204,0.232,0.327,0.375,0.292,0.625,92,80,172,100-200
DP,0,0.2857142858367347,0.278,0.259,0.556,0.204,0.228,0.204,0.229,0.21,0.514,69,82,151,100-200
DP,0,0.5714285714591836,0.281,0.187,0.561,0.154,0.169,0.205,0.582,0.436,1.018,132,77,209,200-250
DP,1,0.7857142857295918,0.267,0.178,0.533,0.261,0.208,0.348,0.056,0.056,0.056,97,58,155,100-200
DP,0,0.3571428571887755,0.471,0.314,0.941,0.077,0.101,0.038,0.438,0.312,0.938,60,91,151,100-200
DP,1,0.714285714377551,0.449,0.313,0.857,0.114,0.134,0.229,0.353,0.235,0.706,131,141,272,250-300
DP,0,0.2142857142704081,0.34,0.226,0.604,0.308,0.276,0.423,0.436,0.352,0.836,87,109,196,100-200
DP,1,0.8571428570816325,0.464,0.345,0.821,0.158,0.221,0.211,0.61,0.475,1.017,96,110,206,200-250
DP,0,0.2857142858367347,0.291,0.255,0.727,0.186,0.154,0.279,0.267,0.222,0.467,87,90,177,100-200
DP,0,0.1428571429183673,0.393,0.262,0.852,1.0,0.714,1.857,0.471,0.314,0.941,130,140,270,250-300
DP,0,0.1428571429183673,0.169,0.16,0.394,0.103,0.108,0.103,0.286,0.238,0.5,87,190,277,250-300
DP,1,0.714285714377551,0.468,0.355,0.809,0.231,0.296,0.385,0.583,0.444,1.0,96,82,178,100-200
DP,0,0.1428571429183673,0.235,0.196,0.51,0.308,0.298,0.538,0.15,0.167,0.3,130,113,243,200-250
DP,0,0.2142857142704081,0.141,0.141,0.197,0.054,0.07,0.054,0.14,0.117,0.351,95,190,285,250-300
DP,1,0.8571428570816325,0.538,0.359,1.077,1.0,0.714,1.857,0.577,0.397,1.115,117,72,189,100-200
DP,0,0.1428571429183673,0.333,0.236,0.583,0.222,0.206,0.311,0.2,0.133,0.4,150,81,231,200-250
DP,1,0.7857142857295918,0.227,0.136,0.5,0.776,0.531,1.51,0.19,0.159,0.381,170,66,236,200-250
DP,1,0.7857142857295918,0.271,0.158,0.61,0.267,0.29,0.333,0.316,0.14,0.842,66,321,387,300-400
DP,1,0.8571428570816325,0.2,0.089,0.333,1.0,0.714,1.857,0.231,0.179,0.462,79,51,130,100-200
DP,1,0.9285714286479592,0.375,0.25,0.75,1.0,0.714,1.857,0.356,0.222,0.711,87,62,149,100-200
DP,0,0.4285714285408163,0.364,0.242,0.8,0.14,0.215,0.14,0.188,0.188,0.188,194,65,259,250-300
DP,0,0.2857142858367347,0.35,0.283,0.75,0.128,0.158,0.128,0.216,0.144,0.432,116,81,197,100-200
DP,0,0.1428571429183673,0.34,0.284,0.638,0.233,0.175,0.279,0.377,0.302,0.604,122,77,199,100-200
DP,1,0.9285714286479592,0.483,0.322,0.966,0.089,0.15,0.133,0.444,0.385,0.978,78,117,195,100-200
DP,0,0.4285714285408163,0.125,0.104,0.281,0.31,0.266,0.448,0.154,0.12,0.256,209,80,289,250-300
DP,0,0.1428571429183673,0.308,0.205,0.615,1.0,0.714,1.857,0.167,0.093,0.389,136,47,183,100-200
DP,0,0.3571428571887755,0.257,0.21,0.486,0.357,0.313,0.571,0.195,0.244,0.39,87,185,272,250-300
DP,1,0.6428571428112244,0.265,0.167,0.676,1.0,0.714,1.857,0.265,0.167,0.559,103,48,151,100-200
DP,0,0.5000000001071427,0.255,0.182,0.545,0.298,0.29,0.383,0.222,0.173,0.444,93,157,250,200-250
DP,1,0.6428571428112244,0.537,0.374,1.024,1.0,0.714,1.857,0.468,0.326,0.894,65,72,137,100-200
DP,0,0.4285714285408163,0.264,0.214,0.566,1.0,0.714,1.857,0.385,0.346,0.846,150,71,221,200-250
DP,0,0.3571428571887755,0.192,0.115,0.5,0.136,0.159,0.136,0.17,0.113,0.34,132,64,196,100-200
DP,1,0.8571428570816325,0.327,0.19,0.816,1.0,0.714,1.857,0.196,0.144,0.51,130,71,201,200-250
DP,1,1.0,0.429,0.286,1.0,1.0,0.714,1.857,0.294,0.216,0.647,78,66,144,100-200
DP,1,0.9285714286479592,0.417,0.25,0.917,0.195,0.177,0.39,0.583,0.361,1.25,60,61,121,100-200
DP,0,0.2142857142704081,0.243,0.189,0.514,0.174,0.187,0.217,0.227,0.136,0.5,76,79,155,100-200
DP,0,0.1428571429183673,0.182,0.147,0.338,0.29,0.289,0.29,0.455,0.364,0.727,185,121,306,300-400
DP,0,0.5714285714591836,0.294,0.176,0.647,0.174,0.192,0.174,0.316,0.246,0.526,86,63,149,100-200
DP,0,0.2142857142704081,0.174,0.174,0.348,0.154,0.227,0.154,0.129,0.086,0.258,59,106,165,100-200
DP,0,0.3571428571887755,0.378,0.234,0.811,0.059,0.08,0.059,0.121,0.121,0.364,67,92,159,100-200
