,f1,threshold,correlation,correlation_p
standard,0.6348132527679667,0.3973063973063973,0.34606355124372346,2.147625752134228e-168
concept,0.6534262899820062,0.7609427609427609,0.38732352155722155,5.271060646895051e-214
structure,0.6050049935060204,0.2861952861952862,0.2810991150348164,2.2605605485409745e-109
conclusion_standard,0.5372113996198262,0.4377104377104377,0.039488028308755564,0.0022186569808101907
conclusion_concept,0.540094074454033,0.8282828282828284,0.060550777056418835,2.684746639769429e-06
conclusion_structure,0.5343830738185403,0.3501683501683502,0.03672831504553884,0.004436539920694644
summary_standard,0.5816993313149108,0.4141414141414142,0.21500178432767922,1.0871918106077913e-63
summary_concept,0.595938602832945,0.8148148148148148,0.24801044731409472,8.610038433291135e-85
summary_structure,0.5583257599332975,0.32323232323232326,0.17054086027310467,2.168956377094936e-40
conclusion_standard_mixed,0.6381428564474458,0.38047138047138046,0.3491346913280174,1.462719737495522e-171
conclusion_concept_mixed,0.6456594062813633,0.7542087542087542,0.3892473815368228,2.6817429985685464e-216
conclusion_structure_mixed,0.6092062032480274,0.29292929292929293,0.2849182986804692,1.9394920889463719e-112
summary_standard_mixed,0.6360349840706572,0.393939393939394,0.3487252736630452,3.8849811912302664e-171
summary_concept_mixed,0.6490696418714121,0.7643097643097643,0.39011199365978594,2.4698867454565156e-217
summary_structure_mixed,0.6052405395131164,0.2895622895622896,0.28380940164614127,1.5242024084824743e-111
