topic,sentence_1,sentence_2,regression_label_binary,regression_label
Abortion,"When coupled with laws aimed at eliminating early access to abortion , current late term abortion bans seem more about further preventing women from accessing abortion than a good-faith attempt at balancing women ’s reproductive rights with bioethical concerns .",Many religious organizations and people of faith support women's reproductive choice. ,0,0.3214285714285714
Abortion,Abortion is not a question of morality it is a question of providing options to prevent and mitigate risks in certain circumstances .,A baby should not come into the world unwanted. ,1,0.5178571428571429
Abortion,"They also add that if abortion was illegal , the procedure would be performed , regardless – the only difference being that it would be performed under dangerous , substandard conditions .",Abortion promotes a culture in which human life is disposable.,0,0.4821428571428571
Abortion,Compare that to nearly 40 years of data showing that we would save more than three times as many unborn children by cutting the number of poor women in half .,Modern abortion procedures are safe and do not cause lasting health issues such as cancer and infertility.,0,0.4107142857142857
Abortion,"If we do n't know when a human person comes into existence ( but we know it happens sometime between conception and birth ) , should n't we prevent abortions throughout that entire stage ?",Reproductive choice protects women from financial disadvantage. ,0,0.3571428571428571
Abortion,"But clearly , involuntary euthanasia is wrong ; clearly , there is a difference between imposing power on another and freely making a contract with another .","The original text of the Hippocratic Oath, traditionally taken by doctors when swearing to practice medicine ethically, forbids abortion.",1,0.5892857142857143
Abortion,There are a number of points to make regarding the charge that countless women will die .,Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term. ,0,0.4821428571428571
Abortion,"P.S. I am a teenager , so I do n't have a lot of experience , but I still think abortion should be avoided until the day that it becomes illegal .",Reproductive choice empowers women by giving them control over their own bodies. ,0,0.375
Abortion,The only definition that makes sense is that someone becomes a human at conception because that is the only meaningful change in someone ’s life .,Women should not be able to use abortion as a form of contraception. ,0,0.3571428571428571
Abortion,"They are desperate , alone , scared , probably ashamed , and without options .",A baby should not come into the world unwanted. ,1,0.625
Abortion,"They attributed the drop in crime to a reduction in individuals said to have a higher statistical probability of committing crimes : unwanted children , especially those born to mothers who are African American , impoverished , adolescent , uneducated , and single .",Many religious organizations and people of faith support women's reproductive choice. ,0,0.2857142857142857
Abortion,"If a group believes that abortion is murder , then that group ought to advocate that abortion be treated as murder .","Life begins at conception, so unborn babies are human beings with a right to life. ",1,0.625
Abortion,"I believe that every single human being is entitled to the protection of our laws , whether they can vote or not .",Modern abortion procedures are safe and do not cause lasting health issues such as cancer and infertility.,0,0.2678571428571428
Abortion,The only definition that makes sense is that someone becomes a human at conception because that is the only meaningful change in someone ’s life .,Reproductive choice empowers women by giving them control over their own bodies. ,1,0.5714285714285714
Abortion,The choice to become a mother must in the very least be given to the woman .,"The US Supreme Court has declared abortion to be a ""fundamental right"" guaranteed by the US Constitution.",1,0.7321428571428572
Abortion,"All the risks she faces are multiplied a hundred fold , and the child must face them as well .",Allowing abortion conflicts with the unalienable right to life recognized by the Founding Fathers of the United States.,0,0.4464285714285714
Abortion,"The state may protect unborn life in ways it would not , but for stereotypical assumptions about women ’s sexual or maternal roles .",Abortion may lead to future medical problems for the mother. ,0,0.4285714285714286
Abortion,"And why is this particular degree of development ( i.e. , higher brain function ) decisive rather than another ?",Abortion is justified as a means of population control. ,0,0.3392857142857143
Abortion,"They use these words over and over , as if repeating them often enough will somehow make us all decide that an acorn is actually an oak tree and having a carton of eggs in the fridge is the same as owning a dozen chickens .",Abortions reduce the number of adoptable babies. ,0,0.2678571428571428
