topic,regression_label_binary,regression_label,standard,structure,concept,conclusion_standard,conclusion_structure,conclusion_concept,summary_standard,summary_structure,summary_concept,sentence_1_len,sentence_2_len,combined_len,bin
Abortion,0,0.3214285714285714,0.195,0.154,0.341,0.118,0.146,0.118,0.214,0.167,0.357,262,86,348,300-400
Abortion,1,0.5178571428571429,0.1,0.15,0.1,0.2,0.283,0.2,0.187,0.187,0.187,133,48,181,100-200
Abortion,0,0.4821428571428571,0.095,0.095,0.19,0.098,0.156,0.146,0.095,0.095,0.19,188,62,250,200-250
Abortion,0,0.4107142857142857,0.141,0.141,0.113,0.194,0.223,0.306,0.17,0.17,0.17,158,106,264,250-300
Abortion,0,0.3571428571428571,0.113,0.113,0.113,0.143,0.212,0.179,0.138,0.138,0.207,188,64,252,250-300
Abortion,1,0.5892857142857143,0.136,0.136,0.136,0.087,0.154,0.13,0.074,0.074,0.074,157,137,294,250-300
Abortion,0,0.4821428571428571,0.098,0.065,0.195,0.098,0.103,0.098,0.162,0.126,0.27,89,114,203,200-250
Abortion,0,0.375,0.151,0.113,0.113,0.108,0.134,0.054,0.114,0.171,0.171,146,81,227,200-250
Abortion,0,0.3571428571428571,0.15,0.15,0.2,0.118,0.19,0.118,0.182,0.182,0.182,146,69,215,200-250
Abortion,1,0.625,0.114,0.114,0.114,0.182,0.305,0.273,0.121,0.121,0.121,78,48,126,100-200
Abortion,0,0.2857142857142857,0.107,0.08,0.107,0.381,0.375,0.698,0.13,0.087,0.087,266,86,352,300-400
Abortion,1,0.625,0.154,0.154,0.154,0.063,0.101,0.063,0.19,0.19,0.19,116,83,199,100-200
Abortion,0,0.2678571428571428,0.194,0.194,0.194,0.1,0.126,0.167,0.222,0.222,0.167,114,106,220,200-250
Abortion,1,0.5714285714285714,0.233,0.186,0.186,0.167,0.202,0.233,0.167,0.222,0.222,146,81,227,200-250
Abortion,1,0.7321428571428572,0.146,0.098,0.146,0.093,0.144,0.14,0.105,0.158,0.105,76,105,181,100-200
Abortion,0,0.4464285714285714,0.145,0.145,0.145,0.275,0.243,0.431,0.17,0.17,0.085,94,119,213,200-250
Abortion,0,0.4285714285714286,0.214,0.155,0.321,0.271,0.269,0.339,0.154,0.09,0.231,132,61,193,100-200
Abortion,0,0.3392857142857143,0.066,0.089,0.108,0.111,0.13,0.111,0.34,0.241,0.468,112,56,168,100-200
Abortion,0,0.2678571428571428,0.085,0.056,0.085,0.078,0.112,0.078,0.111,0.167,0.111,223,49,272,250-300
Abortion,0,0.2678571428571428,0.084,0.07,0.126,0.279,0.262,0.372,0.12,0.093,0.16,311,45,356,300-400
Abortion,1,0.5535714285714286,0.194,0.129,0.129,0.157,0.151,0.235,0.067,0.133,0.133,44,83,127,100-200
Abortion,1,0.6071428571428571,0.318,0.227,0.591,0.189,0.199,0.34,0.162,0.126,0.27,99,71,170,100-200
Abortion,1,0.5740740740740741,0.028,0.028,0.028,0.143,0.102,0.143,0.047,0.047,0.047,213,48,261,250-300
Abortion,0,0.1607142857142857,0.0,0.0,0.0,0.08,0.116,0.08,0.0,0.0,0.0,132,23,155,100-200
Abortion,0,0.4107142857142857,0.2,0.2,0.2,0.08,0.157,0.16,0.2,0.2,0.2,41,38,79,<100
Abortion,1,0.6428571428571428,0.23,0.208,0.262,0.176,0.137,0.294,0.255,0.27,0.383,195,114,309,300-400
Abortion,0,0.5,0.112,0.112,0.09,0.1,0.173,0.133,0.169,0.207,0.282,201,105,306,300-400
Abortion,0,0.3035714285714285,0.143,0.143,0.143,0.045,0.078,0.045,0.1,0.1,0.1,66,49,115,100-200
Abortion,1,0.9107142857142856,0.138,0.069,0.276,0.286,0.303,0.381,0.091,0.091,0.273,41,71,112,100-200
Abortion,0,0.4285714285714286,0.188,0.146,0.312,0.107,0.179,0.179,0.211,0.14,0.421,168,105,273,250-300
Abortion,0,0.1666666666666666,0.054,0.054,0.108,0.182,0.208,0.273,0.133,0.133,0.133,357,23,380,300-400
Abortion,0,0.375,0.174,0.155,0.203,0.143,0.176,0.143,0.229,0.171,0.171,213,73,286,250-300
Abortion,0,0.4464285714285714,0.078,0.052,0.157,0.217,0.204,0.174,0.114,0.114,0.114,146,48,194,100-200
Abortion,0,0.4107142857142857,0.051,0.051,0.051,0.077,0.163,0.115,0.049,0.049,0.049,309,63,372,300-400
Abortion,0,0.4107142857142857,0.038,0.077,0.115,0.053,0.095,0.053,0.182,0.182,0.182,129,81,210,200-250
Abortion,0,0.3392857142857143,0.129,0.129,0.129,0.087,0.1,0.087,0.069,0.138,0.138,80,49,129,100-200
Abortion,1,0.5357142857142857,0.217,0.153,0.506,0.146,0.178,0.146,0.233,0.171,0.419,300,83,383,300-400
Abortion,0,0.4285714285714286,0.253,0.228,0.456,0.169,0.179,0.237,0.292,0.278,0.458,211,106,317,300-400
Abortion,1,0.5714285714285714,0.08,0.1,0.12,0.36,0.301,0.48,0.205,0.205,0.256,436,45,481,400-500
Abortion,0,0.4642857142857143,0.328,0.284,0.525,0.269,0.242,0.388,0.303,0.263,0.545,170,106,276,250-300
Abortion,0,0.2857142857142857,0.133,0.2,0.267,0.123,0.133,0.185,0.174,0.145,0.261,140,106,246,200-250
Abortion,1,0.6607142857142857,0.333,0.244,0.6,0.148,0.148,0.111,0.129,0.129,0.258,93,119,212,200-250
Abortion,1,0.75,0.308,0.222,0.513,0.286,0.356,0.49,0.267,0.222,0.4,43,105,148,100-200
Abortion,1,0.625,0.212,0.202,0.333,0.163,0.153,0.122,0.2,0.178,0.367,134,123,257,250-300
Abortion,1,0.5357142857142857,0.143,0.143,0.19,0.16,0.266,0.24,0.19,0.143,0.238,116,86,202,200-250
Abortion,1,0.7678571428571428,0.237,0.203,0.441,0.108,0.125,0.108,0.269,0.218,0.5,151,83,234,200-250
Abortion,1,0.8928571428571428,0.35,0.3,0.7,0.043,0.096,0.087,0.368,0.263,0.684,49,71,120,100-200
Abortion,1,0.625,0.237,0.192,0.441,0.122,0.146,0.122,0.318,0.258,0.591,117,119,236,200-250
