,f1,threshold,correlation,correlation_p
standard,0.6175100954888592,0.18383838383838383,0.374240350702774,1.6878048339836753e-113
concept,0.6296371243829144,0.3095959595959596,0.4377656347656057,3.282757298706985e-159
structure,0.6011320893139722,0.1590909090909091,0.3049840406743887,4.1034079830538266e-74
conclusion_standard,0.5194700569865154,0.17020202020202024,0.08244492893623723,1.48121945417284e-06
conclusion_concept,0.5301638493522288,0.22121212121212122,0.09352252668894412,4.675607854930864e-08
conclusion_structure,0.5252842705952764,0.1954545454545455,0.0777796821227663,5.611894068521591e-06
summary_standard,0.5990979187976295,0.1904040404040404,0.29317121074461255,2.2714065114128766e-68
summary_concept,0.6170975359477049,0.2926767676767677,0.33891162043110024,3.781444621503555e-92
summary_structure,0.5740615202944451,0.1671717171717172,0.22800146805509908,2.428606888318727e-41
conclusion_standard_mixed,0.6121533790787697,0.18181818181818185,0.3785244890830471,2.818792797117859e-116
conclusion_concept_mixed,0.6376864948355119,0.29292929292929293,0.4407953386898746,1.2011306731926476e-161
conclusion_structure_mixed,0.6013227145810032,0.16161616161616163,0.3101421456394792,1.0474132468456112e-76
summary_standard_mixed,0.6240706647482162,0.1762626262626263,0.37984743869371246,3.836597701631585e-117
summary_concept_mixed,0.6314695347524637,0.318939393939394,0.4401969564017018,3.654327241797528e-161
summary_structure_mixed,0.596215827153589,0.15530303030303033,0.31079876275717877,4.855898440447614e-77
