,f1,threshold
standard,0.6609397482356847,0.246969696969697
concept,0.6783758040353373,0.4401515151515151
structure,0.6198700753115416,0.19343434343434346
conclusion_standard,0.5117572368282899,0.19570707070707072
conclusion_concept,0.5057800956280027,0.2626262626262627
conclusion_structure,0.5061749961422248,0.21464646464646467
summary_standard,0.6151067687822562,0.251010101010101
summary_concept,0.6390101932721765,0.4196969696969697
summary_structure,0.5742445798474881,0.19646464646464648
conclusion_standard_mixed,0.6557591792798283,0.2411616161616162
conclusion_concept_mixed,0.6717933375479722,0.4308080808080808
conclusion_structure_mixed,0.6229711635092114,0.20101010101010103
summary_standard_mixed,0.6682109477077474,0.24242424242424243
summary_concept_mixed,0.6740100586540653,0.42651515151515157
summary_structure_mixed,0.6258009451792426,0.19191919191919193
