topic,regression_label_binary,standard,structure,concept,conclusion_standard,conclusion_structure,conclusion_concept,summary_standard,summary_structure,summary_concept,sentence_1_len,sentence_2_len,combined_len,bin
3d printing,0,0.216,0.18,0.459,0.1,0.224,0.2,0.212,0.172,0.394,70,142,212,200-250
3d printing,0,0.218,0.194,0.291,0.136,0.203,0.182,0.071,0.071,0.071,104,105,209,200-250
3d printing,1,0.25,0.192,0.45,0.174,0.169,0.217,0.239,0.199,0.328,129,153,282,250-300
3d printing,0,0.237,0.184,0.421,0.31,0.265,0.379,0.361,0.306,0.583,133,172,305,300-400
3d printing,1,0.296,0.206,0.593,0.13,0.229,0.13,0.25,0.194,0.417,136,178,314,300-400
3d printing,0,0.19,0.169,0.381,0.189,0.192,0.264,0.226,0.204,0.355,124,157,281,250-300
3d printing,0,0.107,0.107,0.143,0.119,0.217,0.149,0.107,0.107,0.107,85,126,211,200-250
3d printing,0,0.262,0.219,0.393,0.254,0.25,0.381,0.235,0.209,0.314,76,119,195,100-200
3d printing,0,0.213,0.169,0.347,0.071,0.115,0.071,0.145,0.182,0.218,148,157,305,300-400
3d printing,1,0.25,0.24,0.531,0.078,0.134,0.118,0.238,0.206,0.333,121,120,241,200-250
3d printing,0,0.187,0.151,0.347,0.14,0.168,0.279,0.203,0.164,0.377,104,142,246,200-250
3d printing,0,0.222,0.222,0.296,0.182,0.225,0.182,0.185,0.185,0.296,66,146,212,200-250
3d printing,1,0.213,0.184,0.298,0.417,0.304,0.667,0.122,0.095,0.245,94,105,199,100-200
3d printing,0,0.225,0.158,0.475,0.136,0.214,0.203,0.333,0.269,0.694,108,162,270,250-300
3d printing,0,0.179,0.129,0.209,0.217,0.255,0.13,0.29,0.215,0.387,133,172,305,300-400
3d printing,0,0.226,0.204,0.484,0.267,0.279,0.333,0.196,0.144,0.353,131,128,259,250-300
3d printing,0,0.082,0.082,0.122,0.13,0.171,0.13,0.186,0.155,0.279,77,122,199,100-200
3d printing,0,0.169,0.15,0.254,0.211,0.197,0.316,0.279,0.233,0.465,128,184,312,300-400
3d printing,0,0.269,0.205,0.577,0.061,0.097,0.061,0.162,0.162,0.108,66,121,187,100-200
3d printing,1,0.186,0.178,0.256,0.174,0.255,0.217,0.161,0.108,0.226,184,178,362,300-400
3d printing,1,0.275,0.208,0.475,0.073,0.206,0.109,0.184,0.158,0.263,159,157,316,300-400
3d printing,0,0.3,0.217,0.525,0.189,0.234,0.264,0.246,0.164,0.523,148,172,320,300-400
3d printing,1,0.243,0.189,0.459,0.136,0.123,0.227,0.297,0.243,0.514,108,157,265,250-300
3d printing,1,0.269,0.209,0.448,0.158,0.134,0.263,0.235,0.176,0.294,156,150,306,300-400
3d printing,0,0.222,0.156,0.296,0.182,0.241,0.255,0.187,0.167,0.344,133,178,311,300-400
3d printing,1,0.275,0.217,0.375,0.2,0.231,0.233,0.319,0.251,0.522,133,159,292,250-300
3d printing,1,0.243,0.225,0.365,0.13,0.128,0.217,0.213,0.184,0.298,131,150,281,250-300
3d printing,1,0.263,0.184,0.526,0.192,0.202,0.308,0.338,0.282,0.563,147,157,304,300-400
3d printing,0,0.23,0.175,0.295,0.161,0.19,0.226,0.118,0.088,0.118,118,148,266,250-300
3d printing,0,0.231,0.222,0.333,0.264,0.271,0.453,0.278,0.241,0.333,103,142,245,200-250
3d printing,0,0.208,0.181,0.375,0.056,0.087,0.056,0.13,0.101,0.261,66,126,192,100-200
3d printing,0,0.239,0.199,0.328,0.233,0.205,0.419,0.179,0.131,0.357,133,136,269,250-300
3d printing,0,0.411,0.32,0.74,0.375,0.35,0.625,0.324,0.216,0.559,132,133,265,250-300
3d printing,0,0.272,0.222,0.543,0.172,0.208,0.241,0.182,0.162,0.333,172,184,356,300-400
3d printing,1,0.169,0.177,0.337,0.057,0.107,0.057,0.16,0.133,0.36,178,150,328,300-400
3d printing,1,0.308,0.256,0.462,0.143,0.167,0.143,0.278,0.204,0.5,76,155,231,200-250
3d printing,0,0.122,0.054,0.204,0.25,0.177,0.5,0.057,0.057,0.057,79,108,187,100-200
3d printing,1,0.218,0.194,0.382,0.214,0.189,0.25,0.235,0.209,0.412,100,131,231,200-250
3d printing,0,0.182,0.162,0.303,0.24,0.284,0.24,0.192,0.192,0.192,104,131,235,200-250
3d printing,0,0.167,0.148,0.278,0.154,0.149,0.231,0.143,0.095,0.143,117,130,247,200-250
3d printing,0,0.253,0.194,0.329,0.116,0.185,0.145,0.293,0.24,0.453,117,154,271,250-300
3d printing,0,0.177,0.16,0.228,0.194,0.219,0.29,0.182,0.152,0.273,148,140,288,250-300
3d printing,1,0.154,0.192,0.244,0.16,0.177,0.12,0.119,0.1,0.179,146,178,324,300-400
3d printing,0,0.184,0.219,0.263,0.128,0.214,0.128,0.215,0.195,0.277,136,178,314,300-400
3d printing,0,0.206,0.186,0.294,0.133,0.234,0.133,0.262,0.186,0.459,66,170,236,200-250
3d printing,0,0.203,0.113,0.271,0.2,0.217,0.15,0.235,0.209,0.314,95,128,223,200-250
3d printing,1,0.269,0.179,0.597,0.143,0.136,0.238,0.308,0.256,0.585,133,157,290,250-300
3d printing,0,0.188,0.149,0.188,0.178,0.176,0.267,0.188,0.198,0.25,151,172,323,300-400
3d printing,0,0.217,0.188,0.348,0.042,0.065,0.042,0.217,0.188,0.348,66,103,169,100-200
3d printing,1,0.209,0.129,0.448,0.218,0.203,0.473,0.31,0.241,0.483,131,123,254,250-300
